Event,Zone,Region,latitude,longitude
Health - Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.175656,141.506471
Health - Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.175656,141.506471
Health - Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.175656,141.506471
Health - Heatwave,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-32.175656,141.506471
Health - Heatwaves,"Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne","Brisbane , Sydney , Canberra (ACT) , Adelaide , Perth , Darwin , Hobart , Melbourne",-31.968237,141.20816
Health - Melbourne heatwave,Melbourne,Melbourne,-37.516355,145.104128
Flood - Bolwarra,Sydney,Sydney,-33.837105,151.237391
Flood - Gundagai,Canberra (NSW),Canberra (NSW),-35.276484,149.125819
Flood - Mid-North South Australia,"Adelaide , Leigh Creek , Murray Bridge (SA)","Adelaide , Leigh Creek , Murray Bridge (SA)",-33.632679,138.760129
Flood - Araluen and Braidwood,Wollongong,Wollongong,-34.66772,150.931275
Flood -  Widespread New South Wales (including Queensland and South Australia),"Bourke , Broken Hill , Danggali (NSW) , Swan Hill (NSW)","Bourke , Broken Hill , Danggali (NSW) , Swan Hill (NSW)",-32.748051,143.551594
"Flood - Black February. Brisbane, Ipswich and Maryborough","Brisbane , Bundaberg","Brisbane , Bundaberg",-26.178393,152.936381
Flood - Maitland,Maitland,Maitland,-32.734152,151.553868
Flood - Katherine and Daly River,"Katherine , Victoria River","Katherine , Victoria River",-25.941055,138.48519
Flood - Clermont and Peak Downs,Clermont,Clermont,-22.823941,147.636531
Flood - Widespread New South Wales and Queensland,New South Wales,New South Wales,-31.092078,147.567122
Flood - Nowra,Wollongong,Wollongong,-34.465499,150.791591
South-east Queensland Heavy rainfall and floods,Queensland,Queensland,-20.904142,142.573086
Flood - Hobart flash flooding,Hobart,Hobart,-42.7066,147.235305
Flood - south-eastern Australia,National,National,-25.273194,133.782873
"Flood - Tasmania, 2016","Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse, Huon and Derwent Rivers","Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse, Huon and Derwent Rivers",-40.783273,146.904191
Flood - Victoria,Cooma (VIC),Cooma (VIC),-36.241757,148.756867
Flood - New South Wales,"Bourke , Broken Hill , Canberra (NSW) , Cooma (NSW) , Dubbo , Narrabi , Swan Hill (NSW) , Sydney , Tamworth , Tibooburra (NSW) , Wollongong","Bourke , Broken Hill , Canberra (NSW) , Cooma (NSW) , Dubbo , Narrabi , Swan Hill (NSW) , Sydney , Tamworth , Tibooburra (NSW) , Wollongong",-33.122401,147.812078
Flood - Queensland,"Cairns , Cape York , Charters Towers , Cooktown , Gunpowder , Mackay , Mitchell River , Mornington Island , Normanton , Torres Strait , Townsville , Weipa","Cairns , Cape York , Charters Towers , Cooktown , Gunpowder , Mackay , Mitchell River , Mornington Island , Normanton , Torres Strait , Townsville , Weipa",-16.287458,143.766069
Flood - Northern NSW - Moree,"Moree (NSW) , Narrabi , Tamworth","Moree (NSW) , Narrabi , Tamworth",-30.290376,150.366085
Flood - Victoria,"Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne","Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne",-36.531282,141.772769
"Flood - Warum, Kimberly",Kimberly,Kimberly,-17.00044,127.999594
Flood - Queensland,Brisbane,Brisbane,-27.605967,152.920223
Flood - Gascoyne river,Gascoyne River,Gascoyne River,-23.499928,115.00085
Flood - Queensland,"Blackall , Brisbane , Charleville , Clermont , Eromanga , Moree (QLD) , Roma , Taroom , Windorah","Blackall , Brisbane , Charleville , Clermont , Eromanga , Moree (QLD) , Roma , Taroom , Windorah",-26.235267,147.310393
Flood - Northern New South Wales,Lismore (NSW),Lismore (NSW),-28.94687,153.554323
Flood - Mid and North Coast,Tamworth,Tamworth,-31.098071,150.968893
Flood - North Queensland,"Cairns , Townsville","Cairns , Townsville",-17.77499,146.005155
Flood - North Queensland,"Cairns , Townsville","Cairns , Townsville",-17.77499,146.005155
Flood - Mackay,"Blackall , Bundaberg , Cairns , Cape York , Charters Towers , Clermont , Cooktown , Croydon , Longreach , Mackay , Mitchell River , Normanton , Rockhampton , Taroom , Townsville , Weipa","Blackall , Bundaberg , Cairns , Cape York , Charters Towers , Clermont , Cooktown , Croydon , Longreach , Mackay , Mitchell River , Normanton , Rockhampton , Taroom , Townsville , Weipa",-19.57672,145.835448
Flood - North Coast New South Wales,Lismore (NSW),Lismore (NSW),-28.671497,153.408922
Flood - Queensland,"Ayr , Birdsville , Blackall , Boulia , Cairns , Cape York , Charleville , Charters Towers , Clermont , Cooktown , Coringa Islets , Croydon , Cunnamulla (QLD) , Eromanga , Longreach , Mackay , Mitchell River , Moree (QLD) , Mornington Island , Mount Isa , Normanton , Osprey Reef , Richmond , Rockhampton , Roma , Taroom , Tibooburra (QLD) , Townsville , Weipa , Windorah , Winton","Ayr , Birdsville , Blackall , Boulia , Cairns , Cape York , Charleville , Charters Towers , Clermont , Cooktown , Coringa Islets , Croydon , Cunnamulla (QLD) , Eromanga , Longreach , Mackay , Mitchell River , Moree (QLD) , Mornington Island , Mount Isa , Normanton , Osprey Reef , Richmond , Rockhampton , Roma , Taroom , Tibooburra (QLD) , Townsville , Weipa , Windorah , Winton",-21.63573,144.426304
Flood - South East Queensland,"Brisbane , Lismore (QLD)","Brisbane , Lismore (QLD)",-28.062455,153.301818
Flood - Gippsland,"Cooma (VIC) , Wilsons Promontory , Melbourne","Cooma (VIC) , Wilsons Promontory , Melbourne",-38.240682,146.700006
Flood - Gawler river,Gawler River,Gawler River,-34.721021,138.639582
Flood - North East New South Wales,Lismore (NSW),Lismore (NSW),-28.819641,153.261976
Flood - South East Queensland,Lismore (QLD),Lismore (QLD),-28.730555,153.428725
"Flood - Brisbane, Sunshine Coast, and Gold Coast",Brisbane,Brisbane,-27.790585,153.42097
"Flood - Grafton, Kempsey and North Coast New South Wales","Lismore (NSW) , Tamworth","Lismore (NSW) , Tamworth",-29.81038,152.336077
Flood - North and Central Queensland,"Cairns , Townsville","Cairns , Townsville",-18.070816,146.336401
Flood - Melbourne and Central Victoria,Melbourne,Melbourne,-37.662515,144.895409
Flood - Switzerland Gorge Flash Flood,Outside Territorial Waters,Outside Territorial Waters,-24.473232,109.765463
Flood - Sydney and Wollongong,"Sydney , Wollongong","Sydney , Wollongong",-34.149113,151.051125
Flood - Katherine Floods,Katherine,Katherine,-14.39673,132.262329
Flood - Townsville,"Cairns , Townsville","Cairns , Townsville",-18.115766,146.259052
Flood - Southern Queensland and Northern New South Wales,"Brisbane , Lismore (NSW)","Brisbane , Lismore (NSW)",-28.159372,153.146826
Flood - North-Eastern Victoria,Melbourne,Melbourne,-38.168853,145.156508
"Flood - Gnarr Creek, Ballarat",Melbourne,Melbourne,-37.791801,144.841461
Flood - Boonah,Brisbane,Brisbane,-27.453555,152.871171
Flood - Gulf Country,"Cairns , Rockhampton","Cairns , Rockhampton",-19.953383,148.269183
"Flood - Queensland - Charleville, New South Wales - Nyngan, Victoria - Gippsland","Brisbane , Lismore (NSW) , Melbourne","Brisbane , Lismore (NSW) , Melbourne",-31.31405,150.278316
"Flood - Gympie, Southern Queensland, and Eastern New South Wales","Brisbane , Lismore (QLD)","Brisbane , Lismore (QLD)",-27.859422,152.689516
Flood - Lismore,Lismore (NSW),Lismore (NSW),-28.797386,153.25714
Flood - Alice Springs and Central NT,Alice Springs,Alice Springs,-23.722713,133.888682
Flood - Sydney,Sydney,Sydney,-33.32949,151.037219
Flood - Sydney,Sydney,Sydney,-33.32949,151.037219
Flood - Dalby,Brisbane,Brisbane,-27.781769,153.054359
"Flood - Sydney, Newcastle and Wollongong",Sydney,Sydney,-33.868989,151.209569
Flood - Sydney,Sydney,Sydney,-33.32949,151.037219
Flood - Western Sydney,Sydney,Sydney,-33.882575,151.122715
Flood - Brisbane River,Brisbane,Brisbane,-27.439092,153.29633
Flood - Eastern Australia,"Brisbane , Dubbo , Lismore (NSW) , Sydney , Tamworth , Wollongong , Coober Pedy , Oodnadatta , Launceston , Melbourne","Brisbane , Dubbo , Lismore (NSW) , Sydney , Tamworth , Wollongong , Coober Pedy , Oodnadatta , Launceston , Melbourne",-32.300832,146.943953
"Flood - Queensland, Northern Territory and Western Australia","Birdsville , Cooktown , Longreach , Mornington Island , Mount Isa","Birdsville , Cooktown , Longreach , Mornington Island , Mount Isa",-20.461923,141.428478
Flood - Woden Valley,Canberra (ACT),Canberra (ACT),-35.267683,149.120716
Flood - Central Coast,"Ayr , Charters Towers , Mackay , Townsville","Ayr , Charters Towers , Mackay , Townsville",-19.95164,146.884169
Flood - Hunter Valley,Sydney,Sydney,-33.871635,151.219356
Flood - Northern New South Wales,Lismore (NSW),Lismore (NSW),-28.94687,153.554323
Flood - Eastern New South Wales,Sydney,Sydney,-33.947634,151.248427
"Flood - Sydney, North Coast, and North Western Districts",Sydney,Sydney,-33.865127,151.224735
Flood - Burdekin River,"Ayr , Townsville","Ayr , Townsville",-19.188562,147.08159
"Flood - Melbourne, Yarra Valley","Cooma (VIC) , Wilsons Promontory , Melbourne","Cooma (VIC) , Wilsons Promontory , Melbourne",-37.730475,146.350774
