Event,Category,State,Fatalities,Insured Cost,Start Date,End Date,URL
Criminal Act - Bali Bombings,Criminal Act,Outside Territorial Waters,20.0,,2005-10-01 00:00:00,2005-10-01 00:00:00,https://knowledge.aidr.org.au/resources/criminal-bali-bombings/
Criminal Act - London Transport Bombings,Criminal Act,Outside Territorial Waters,56.0,,2005-07-07 00:00:00,2005-07-07 00:00:00,https://knowledge.aidr.org.au/resources/criminal-london-transport-bombings/
Criminal Act - Kuta Bali Bombing,Criminal Act,Outside Territorial Waters,202.0,,2002-10-12 00:00:00,2002-10-12 00:00:00,https://knowledge.aidr.org.au/resources/criminal-kuta-bali-bombing-indonesia-2002/
Criminal Act - 9/11 Terrorist Attacks,Criminal Act,Outside Territorial Waters,2819.0,,2001-09-11 00:00:00,2001-09-11 00:00:00,https://knowledge.aidr.org.au/resources/criminal-911-terrorist-attacks-usa-2001/
Criminal Act - Snowtown Murders,Criminal Act,Adelaide,12.0,,1999-05-01 00:00:00,1999-05-01 00:00:00,https://knowledge.aidr.org.au/resources/criminal-snowtown-murders-south-australia-1999/
Criminal Act - Port Arthur Shooting Massacre,Criminal Act,Hobart,35.0,,1996-04-28 00:00:00,1996-04-28 00:00:00,https://knowledge.aidr.org.au/resources/criminal-port-arthur-massacre/
Criminal Act - Liverpool Arson,Criminal Act,Sydney,8.0,,1995-01-15 00:00:00,1995-01-15 00:00:00,https://knowledge.aidr.org.au/resources/criminal-fire-in-liverpool-new-south-wales-1995/
"Criminal - Terrigal Shootings, Sydney 1992 ",Criminal Act,Central Coast,6.0,,1992-10-27 00:00:00,,https://knowledge.aidr.org.au/resources/criminal-terrigal-shootings-sydney-1992/
Criminal Act - Kings Cross Hostel,Criminal Act,Sydney,6.0,,1989-09-17 00:00:00,1989-09-17 00:00:00,https://knowledge.aidr.org.au/resources/fire-urban-kings-cross-1989/
Criminal Act - Oenpelli Shooting Massacre,Criminal Act,Alligator River,6.0,,1988-09-25 00:00:00,1988-09-25 00:00:00,https://knowledge.aidr.org.au/resources/criminal-act-oenpelli-shooting-massacre-northern-territory-1988/
Criminal Act - Queen Street Shooting,Criminal Act,Melbourne,9.0,,1987-12-08 00:00:00,1987-12-08 00:00:00,https://knowledge.aidr.org.au/resources/criminal-queen-street-shooting/
Criminal Act - Hoddle Street Shooting,Criminal Act,Melbourne,7.0,,1987-08-09 00:00:00,1987-08-09 00:00:00,https://knowledge.aidr.org.au/resources/criminal-hoddle-street-shooting/
Criminal Act - The Kimberley Murders,Criminal Act,"Fitzroy Crossing , Katherine",6.0,,1987-06-09 00:00:00,1987-06-19 00:00:00,https://knowledge.aidr.org.au/resources/criminal-the-kimberley-murders-western-australia-1987/
Criminal Act - Sydney Nursing Home,Criminal Act,Sydney,16.0,,1981-04-29 00:00:00,1981-04-29 00:00:00,https://knowledge.aidr.org.au/resources/criminal-sydney-nursing-home-fire-new-south-wales-1981/
Criminal Act - Hilton Hotel Bombing,Criminal Act,Sydney,3.0,,1978-02-13 00:00:00,1978-02-13 00:00:00,https://knowledge.aidr.org.au/resources/criminal-hilton-hotel-bombing-nsw-1978/
Criminal Act - Savoy Hotel Arson,Criminal Act,Sydney,15.0,,1975-12-25 00:00:00,1975-12-25 00:00:00,
Criminal Act - Whiskey Au Go-Go Nightclub Bombing,Criminal Act,Brisbane,15.0,,1973-03-08 00:00:00,1973-03-08 00:00:00,https://knowledge.aidr.org.au/resources/criminal-whiskey-au-go-go-nightclub-bombing/
Criminal Act - Myall Creek Massacre,Criminal Act,Myall Creek,28.0,,10/06/1838,10/06/1838,https://knowledge.aidr.org.au/resources/criminal-myall-creek-massacre-nsw-1838/
Cyclone Sigma ,Cyclone,"Brisbane , Townsville",18.0,,24/01/1896,28/01/1896,https://knowledge.aidr.org.au/resources/cyclone-cyclone-sigma-queensland/
Cyclone - Darwin,Cyclone,Darwin,28.0,,06/01/1897,07/01/1897,https://knowledge.aidr.org.au/resources/cyclone-darwin-1897/
Cyclone - Gulf of Carpentaria,Cyclone,Mornington Island,7.0,,05/03/1887,05/03/1887,https://knowledge.aidr.org.au/resources/cyclone-gulf-of-carpentaria-queensland-1887/
Cyclone Mahina,Cyclone,Cooktown,400.0,,04/03/1899,10/03/1899,https://knowledge.aidr.org.au/resources/cyclone-cyclone-mahina-cape-york-queensland-1899/
Cyclone Veronica,Cyclone,Port Hedland,,26700000.0,2019-03-20 00:00:00,,https://knowledge.aidr.org.au/resources/2019-cyclone-wa-severe-tropical-cyclone-veronica/
Cyclone Marcus,Cyclone,Darwin,,75000000.0,2018-03-15 00:00:00,,https://knowledge.aidr.org.au/resources/2018-cyclone-nt-tropical-cyclone-marcus/
Cyclone Debbie,Cyclone,Airlie Beach,10.0,,2017-03-28 00:00:00,2017-03-31 00:00:00,https://knowledge.aidr.org.au/resources/tropical-cyclone-debbie-queensland-2017/
